food_type,category,food_group,moisture_level,oil_content,storage_condition,temperature,packaging,time_since_prep_hours,remaining_consumable_hours
gulab_jamun,dairy,sweet,high,medium,fridge,2.4,open,16.8,59.11
chicken_biryani,nonveg,rice,medium,medium,room,24.2,open,23.0,0.0
jeera_rice,veg,rice,medium,low,room,25.2,open,29.1,0.0
samosa,veg,fried,low,high,room,27.1,open,42.5,0.0
roti,veg,bread,low,low,room,32.1,open,43.1,0.0
naan,veg,bread,low,medium,fridge,3.2,open,16.1,17.66
dal_tadka,veg,curry,high,low,room,29.6,open,0.6,13.26
paratha,veg,bread,low,high,fridge,2.7,open,31.2,22.42
plain_rice,veg,rice,medium,low,room,35.7,closed,11.6,0.28
plain_rice,veg,rice,medium,low,room,32.7,open,42.9,0.0
dosa,veg,breakfast,medium,low,room,33.6,open,21.8,0.0
veg_pulao,veg,rice,medium,medium,fridge,4.6,open,34.4,0.0
dal_tadka,veg,curry,high,low,room,29.5,open,47.4,0.0
curd,dairy,liquid,high,low,room,25.3,open,39.8,0.0
naan,veg,bread,low,medium,room,36.3,closed,23.8,0.0
veg_pulao,veg,rice,medium,medium,fridge,7.4,open,10.6,17.32
fish_curry,nonveg,curry,high,low,room,35.7,closed,41.2,0.0
plain_rice,veg,rice,medium,low,room,38.0,open,28.7,0.0
halwa,veg,sweet,medium,high,room,30.0,closed,5.6,18.44
paneer_butter_masala,dairy,curry,high,medium,room,32.7,closed,38.6,0.0
jeera_rice,veg,rice,medium,low,fridge,3.7,closed,34.0,8.6
idli,veg,breakfast,medium,low,room,32.4,closed,30.7,0.0
gulab_jamun,dairy,sweet,high,medium,fridge,3.7,closed,30.6,36.16
paneer_butter_masala,dairy,curry,high,medium,room,34.5,open,39.8,0.0
fish_curry,nonveg,curry,high,low,room,26.6,open,38.4,0.0
paneer_butter_masala,dairy,curry,high,medium,fridge,7.4,open,28.1,0.0
dal_tadka,veg,curry,high,low,room,27.8,open,25.6,0.0
milk,dairy,liquid,high,low,room,32.4,closed,42.2,0.0
idli,veg,breakfast,medium,low,fridge,3.5,open,34.8,0.0
samosa,veg,fried,low,high,room,28.1,closed,41.3,0.0
dal_tadka,veg,curry,high,low,fridge,2.5,closed,10.2,33.92
gulab_jamun,dairy,sweet,high,medium,fridge,5.0,closed,15.2,39.06
roti,veg,bread,low,low,fridge,4.5,closed,34.2,10.38
curd,dairy,liquid,high,low,room,25.8,open,46.6,0.0
chicken_biryani,nonveg,rice,medium,medium,room,29.5,open,18.2,0.0
milk,dairy,liquid,high,low,room,24.6,open,34.1,0.0
halwa,veg,sweet,medium,high,fridge,6.5,open,5.0,61.14
gulab_jamun,dairy,sweet,high,medium,fridge,3.6,closed,16.9,37.02
naan,veg,bread,low,medium,fridge,3.2,open,24.9,28.47
idli,veg,breakfast,medium,low,room,36.7,closed,38.8,0.0
naan,veg,bread,low,medium,fridge,2.8,open,17.9,35.04
idli,veg,breakfast,medium,low,room,30.1,closed,41.4,0.0
halwa,veg,sweet,medium,high,room,26.0,closed,41.0,0.0
veg_pulao,veg,rice,medium,medium,room,29.2,open,2.4,6.7
paneer_butter_masala,dairy,curry,high,medium,room,33.7,open,24.9,0.0
naan,veg,bread,low,medium,fridge,5.1,open,27.7,25.71
plain_rice,veg,rice,medium,low,fridge,2.4,closed,17.6,15.38
milk,dairy,liquid,high,low,room,29.6,closed,14.9,0.0
dosa,veg,breakfast,medium,low,fridge,5.6,closed,13.2,21.76
fish_curry,nonveg,curry,high,low,room,36.8,closed,34.8,0.0
chicken_curry,nonveg,curry,high,medium,fridge,4.4,open,25.7,0.0
dal_tadka,veg,curry,high,low,fridge,4.5,open,29.6,0.0
roti,veg,bread,low,low,room,34.0,closed,5.4,12.87
chicken_curry,nonveg,curry,high,medium,room,30.1,open,19.4,0.0
chicken_biryani,nonveg,rice,medium,medium,fridge,2.0,closed,44.3,0.0
curd,dairy,liquid,high,low,fridge,6.3,open,28.7,31.09
samosa,veg,fried,low,high,fridge,5.9,closed,29.4,16.44
veg_pulao,veg,rice,medium,medium,fridge,3.2,closed,35.3,0.0
chicken_curry,nonveg,curry,high,medium,room,25.0,closed,13.6,0.0
gulab_jamun,dairy,sweet,high,medium,fridge,3.8,closed,25.0,53.83
curd,dairy,liquid,high,low,room,25.5,open,5.6,2.77
dal_tadka,veg,curry,high,low,fridge,5.5,open,46.2,0.0
halwa,veg,sweet,medium,high,fridge,4.5,open,26.0,40.07
fish_curry,nonveg,curry,high,low,room,32.5,closed,13.6,0.0
curd,dairy,liquid,high,low,room,29.7,closed,28.8,0.0
dosa,veg,breakfast,medium,low,fridge,7.6,open,13.5,12.93
paneer_butter_masala,dairy,curry,high,medium,fridge,4.3,closed,43.4,0.0
naan,veg,bread,low,medium,room,35.2,closed,15.9,0.0
gulab_jamun,dairy,sweet,high,medium,room,30.9,closed,42.6,0.0
halwa,veg,sweet,medium,high,room,32.6,closed,46.4,0.0
naan,veg,bread,low,medium,room,33.9,open,33.8,0.0
naan,veg,bread,low,medium,fridge,4.9,closed,14.6,46.39
chicken_biryani,nonveg,rice,medium,medium,fridge,4.5,closed,11.2,27.11
milk,dairy,liquid,high,low,fridge,6.4,open,39.4,11.0
paneer_butter_masala,dairy,curry,high,medium,fridge,7.7,closed,25.2,2.4
milk,dairy,liquid,high,low,fridge,4.2,open,40.4,0.0
chicken_biryani,nonveg,rice,medium,medium,room,33.2,open,35.8,0.0
naan,veg,bread,low,medium,fridge,3.2,open,8.2,46.15
samosa,veg,fried,low,high,room,30.2,open,0.5,14.37
veg_pulao,veg,rice,medium,medium,fridge,4.3,open,4.6,19.45
roti,veg,bread,low,low,room,37.9,closed,45.6,0.0
samosa,veg,fried,low,high,fridge,6.1,open,35.3,8.14
dosa,veg,breakfast,medium,low,room,26.2,open,0.1,11.43
gulab_jamun,dairy,sweet,high,medium,room,30.9,open,21.9,0.0
jeera_rice,veg,rice,medium,low,room,37.4,open,2.5,4.25
jeera_rice,veg,rice,medium,low,fridge,7.1,closed,38.5,10.27
roti,veg,bread,low,low,fridge,5.8,open,34.8,25.63
pakora,veg,fried,low,high,fridge,3.5,open,32.0,0.0
plain_rice,veg,rice,medium,low,room,25.3,closed,35.4,0.0
gulab_jamun,dairy,sweet,high,medium,room,30.4,open,1.8,15.15
chicken_curry,nonveg,curry,high,medium,room,27.9,closed,38.0,0.0
chicken_biryani,nonveg,rice,medium,medium,room,36.0,closed,39.5,0.0
halwa,veg,sweet,medium,high,fridge,6.7,closed,15.8,49.27
chicken_biryani,nonveg,rice,medium,medium,room,37.9,closed,21.1,0.0
paneer_butter_masala,dairy,curry,high,medium,room,36.3,open,30.5,0.0
roti,veg,bread,low,low,room,34.2,closed,8.1,11.09
gulab_jamun,dairy,sweet,high,medium,room,26.2,open,46.3,0.0
chicken_curry,nonveg,curry,high,medium,fridge,7.6,closed,28.0,5.7
plain_rice,veg,rice,medium,low,fridge,5.7,closed,23.2,22.24
dosa,veg,breakfast,medium,low,fridge,5.8,open,7.5,21.49
fish_curry,nonveg,curry,high,low,fridge,2.3,closed,2.1,22.97
veg_pulao,veg,rice,medium,medium,fridge,6.7,open,10.9,23.62
pakora,veg,fried,low,high,room,36.6,open,33.2,0.0
chicken_biryani,nonveg,rice,medium,medium,fridge,4.1,closed,16.3,10.37
plain_rice,veg,rice,medium,low,room,33.2,open,37.2,0.0
idli,veg,breakfast,medium,low,fridge,2.2,open,9.5,27.08
paneer_butter_masala,dairy,curry,high,medium,room,27.3,open,43.3,0.0
pakora,veg,fried,low,high,fridge,3.4,closed,4.8,40.65
samosa,veg,fried,low,high,fridge,2.3,open,7.1,39.0
plain_rice,veg,rice,medium,low,room,36.2,closed,27.1,0.0
curd,dairy,liquid,high,low,room,38.0,closed,28.3,0.0
curd,dairy,liquid,high,low,fridge,3.5,open,45.7,0.0
paratha,veg,bread,low,high,fridge,4.4,closed,13.9,48.14
jeera_rice,veg,rice,medium,low,fridge,4.5,open,2.3,28.87
idli,veg,breakfast,medium,low,room,28.2,closed,4.1,14.7
chicken_biryani,nonveg,rice,medium,medium,room,24.7,closed,1.7,11.85
curd,dairy,liquid,high,low,room,24.6,closed,44.1,0.0
veg_pulao,veg,rice,medium,medium,room,27.1,closed,9.3,3.28
pakora,veg,fried,low,high,room,30.2,open,5.7,6.51
samosa,veg,fried,low,high,room,27.7,open,25.8,0.0
halwa,veg,sweet,medium,high,fridge,3.6,closed,19.5,64.63
halwa,veg,sweet,medium,high,room,26.7,open,13.7,7.48
pakora,veg,fried,low,high,room,26.6,open,28.7,0.0
chicken_biryani,nonveg,rice,medium,medium,fridge,6.5,open,35.9,0.0
veg_pulao,veg,rice,medium,medium,fridge,2.8,closed,26.2,13.25
plain_rice,veg,rice,medium,low,room,35.2,closed,47.2,0.0
roti,veg,bread,low,low,fridge,2.3,open,13.1,48.9
dosa,veg,breakfast,medium,low,room,25.2,open,32.0,0.0
gulab_jamun,dairy,sweet,high,medium,fridge,2.6,open,44.9,26.12
fish_curry,nonveg,curry,high,low,room,28.6,open,45.5,0.0
gulab_jamun,dairy,sweet,high,medium,fridge,5.7,closed,8.4,75.86
paneer_butter_masala,dairy,curry,high,medium,fridge,5.0,open,17.8,12.64
samosa,veg,fried,low,high,fridge,3.3,closed,10.5,30.86
dal_tadka,veg,curry,high,low,fridge,7.3,open,25.3,3.86
gulab_jamun,dairy,sweet,high,medium,fridge,2.1,open,40.3,31.63
dal_tadka,veg,curry,high,low,fridge,2.2,open,0.3,39.38
gulab_jamun,dairy,sweet,high,medium,room,37.5,open,36.2,0.0
dal_tadka,veg,curry,high,low,fridge,6.2,closed,19.8,21.41
dal_tadka,veg,curry,high,low,fridge,5.3,closed,1.6,32.42
curd,dairy,liquid,high,low,room,32.3,closed,19.5,0.0
chicken_curry,nonveg,curry,high,medium,fridge,4.5,closed,21.0,7.34
curd,dairy,liquid,high,low,room,31.8,open,22.6,0.0
paratha,veg,bread,low,high,room,33.3,closed,2.0,15.98
curd,dairy,liquid,high,low,fridge,6.0,open,8.9,38.8
pakora,veg,fried,low,high,room,29.0,open,43.0,0.0
paneer_butter_masala,dairy,curry,high,medium,room,29.8,open,27.2,0.0
pakora,veg,fried,low,high,fridge,7.4,open,30.0,1.18
roti,veg,bread,low,low,room,29.7,open,27.8,0.0
naan,veg,bread,low,medium,room,24.3,open,44.2,0.0
chicken_curry,nonveg,curry,high,medium,fridge,4.8,closed,19.6,16.99
roti,veg,bread,low,low,room,25.6,open,10.1,8.62
naan,veg,bread,low,medium,fridge,4.8,open,29.4,7.03
paneer_butter_masala,dairy,curry,high,medium,fridge,4.4,closed,45.5,0.0
milk,dairy,liquid,high,low,fridge,5.0,open,22.9,27.63
jeera_rice,veg,rice,medium,low,room,33.5,open,10.9,0.0
samosa,veg,fried,low,high,room,25.8,open,32.7,0.0
milk,dairy,liquid,high,low,room,33.5,open,46.5,0.0
fish_curry,nonveg,curry,high,low,fridge,7.7,open,15.8,3.33
milk,dairy,liquid,high,low,room,29.1,closed,16.2,0.0
chicken_biryani,nonveg,rice,medium,medium,fridge,4.8,closed,30.7,0.0
fish_curry,nonveg,curry,high,low,fridge,5.4,open,9.4,10.5
chicken_biryani,nonveg,rice,medium,medium,room,36.6,closed,8.0,0.84
samosa,veg,fried,low,high,room,28.5,open,25.6,0.0
fish_curry,nonveg,curry,high,low,fridge,7.4,open,13.9,11.03
dal_tadka,veg,curry,high,low,room,36.3,open,35.3,0.0
dal_tadka,veg,curry,high,low,fridge,7.8,open,22.8,15.07
chicken_curry,nonveg,curry,high,medium,fridge,3.8,open,8.8,17.86
chicken_biryani,nonveg,rice,medium,medium,room,29.6,open,9.1,0.0
idli,veg,breakfast,medium,low,fridge,5.0,closed,47.9,0.0
fish_curry,nonveg,curry,high,low,fridge,6.7,open,5.4,18.27
dal_tadka,veg,curry,high,low,fridge,7.9,open,44.2,0.0
paneer_butter_masala,dairy,curry,high,medium,fridge,2.2,open,33.7,0.0
fish_curry,nonveg,curry,high,low,room,27.9,closed,43.2,0.0
plain_rice,veg,rice,medium,low,fridge,3.1,closed,17.3,24.56
chicken_biryani,nonveg,rice,medium,medium,fridge,7.8,open,20.7,8.99
naan,veg,bread,low,medium,room,32.7,closed,6.9,11.22
dosa,veg,breakfast,medium,low,room,31.0,open,1.5,6.97
paratha,veg,bread,low,high,fridge,4.9,open,25.3,36.7
chicken_biryani,nonveg,rice,medium,medium,room,29.0,open,6.2,2.87
jeera_rice,veg,rice,medium,low,fridge,3.6,closed,47.3,0.0
curd,dairy,liquid,high,low,fridge,5.1,open,14.3,28.67
milk,dairy,liquid,high,low,room,27.1,open,26.2,0.0
samosa,veg,fried,low,high,fridge,6.5,closed,31.1,13.63
milk,dairy,liquid,high,low,fridge,5.5,open,31.8,19.03
naan,veg,bread,low,medium,fridge,4.4,closed,37.5,25.26
pakora,veg,fried,low,high,fridge,6.4,open,17.2,10.73
dal_tadka,veg,curry,high,low,room,30.9,open,46.0,0.0
paneer_butter_masala,dairy,curry,high,medium,room,37.9,open,47.3,0.0
curd,dairy,liquid,high,low,room,37.4,closed,3.3,3.53
curd,dairy,liquid,high,low,room,31.4,closed,1.4,8.3
curd,dairy,liquid,high,low,room,33.9,open,8.3,0.0
gulab_jamun,dairy,sweet,high,medium,fridge,5.9,open,4.4,71.65
paratha,veg,bread,low,high,fridge,2.4,open,10.8,32.55
veg_pulao,veg,rice,medium,medium,fridge,6.5,open,31.0,0.0
dosa,veg,breakfast,medium,low,fridge,5.5,open,30.7,4.53
jeera_rice,veg,rice,medium,low,room,34.0,closed,6.2,5.33
paneer_butter_masala,dairy,curry,high,medium,fridge,6.2,open,15.3,15.06
plain_rice,veg,rice,medium,low,room,27.2,open,30.2,0.0
plain_rice,veg,rice,medium,low,room,31.5,open,27.6,0.0
pakora,veg,fried,low,high,room,35.9,closed,17.6,0.0
dal_tadka,veg,curry,high,low,room,26.5,closed,33.8,0.0
fish_curry,nonveg,curry,high,low,fridge,7.1,closed,17.0,11.76
plain_rice,veg,rice,medium,low,room,34.9,closed,38.6,0.0
veg_pulao,veg,rice,medium,medium,room,29.0,closed,21.4,0.0
paratha,veg,bread,low,high,room,36.1,closed,28.1,0.0
gulab_jamun,dairy,sweet,high,medium,room,34.3,closed,18.2,1.77
samosa,veg,fried,low,high,fridge,2.0,open,13.5,36.56
jeera_rice,veg,rice,medium,low,fridge,5.7,open,40.4,0.0
dosa,veg,breakfast,medium,low,fridge,6.0,closed,10.0,18.57
veg_pulao,veg,rice,medium,medium,room,35.6,closed,28.4,0.0
idli,veg,breakfast,medium,low,room,26.0,open,35.8,0.0
dal_tadka,veg,curry,high,low,fridge,2.5,closed,36.1,9.75
dal_tadka,veg,curry,high,low,fridge,2.8,closed,31.9,8.06
samosa,veg,fried,low,high,fridge,7.9,closed,46.0,2.39
milk,dairy,liquid,high,low,room,29.8,open,32.9,0.0
pakora,veg,fried,low,high,room,26.9,open,5.1,6.72
dosa,veg,breakfast,medium,low,room,28.2,closed,34.5,0.0
naan,veg,bread,low,medium,fridge,4.9,open,27.8,12.97
chicken_biryani,nonveg,rice,medium,medium,room,24.3,closed,35.6,0.0
dal_tadka,veg,curry,high,low,fridge,4.5,open,34.8,6.66
samosa,veg,fried,low,high,room,33.9,open,18.8,0.0
halwa,veg,sweet,medium,high,room,33.5,closed,38.6,0.0
fish_curry,nonveg,curry,high,low,fridge,4.7,closed,8.1,21.38
fish_curry,nonveg,curry,high,low,fridge,4.6,open,14.7,6.21
paneer_butter_masala,dairy,curry,high,medium,fridge,7.0,closed,16.6,10.29
curd,dairy,liquid,high,low,fridge,4.6,closed,4.9,47.71
idli,veg,breakfast,medium,low,fridge,4.2,open,22.9,12.75
jeera_rice,veg,rice,medium,low,room,28.2,closed,4.1,10.99
dosa,veg,breakfast,medium,low,room,37.4,closed,27.0,0.0
jeera_rice,veg,rice,medium,low,fridge,2.8,closed,39.7,4.61
samosa,veg,fried,low,high,room,24.6,open,38.1,0.0
milk,dairy,liquid,high,low,room,29.6,open,35.7,0.0
roti,veg,bread,low,low,fridge,6.5,closed,23.7,33.51
dosa,veg,breakfast,medium,low,fridge,3.8,open,37.6,0.0
plain_rice,veg,rice,medium,low,room,24.3,closed,17.2,0.0
paratha,veg,bread,low,high,fridge,7.6,open,24.3,18.05
veg_pulao,veg,rice,medium,medium,room,33.0,closed,22.9,0.0
chicken_biryani,nonveg,rice,medium,medium,fridge,7.8,open,8.5,14.63
chicken_biryani,nonveg,rice,medium,medium,room,25.3,open,13.5,0.0
paratha,veg,bread,low,high,fridge,4.3,open,38.4,12.02
chicken_biryani,nonveg,rice,medium,medium,room,25.3,closed,16.8,0.0
plain_rice,veg,rice,medium,low,fridge,6.3,open,10.9,22.23
naan,veg,bread,low,medium,fridge,4.3,open,1.8,44.8
roti,veg,bread,low,low,fridge,5.2,open,36.0,20.79
halwa,veg,sweet,medium,high,fridge,2.2,open,2.9,56.14
paneer_butter_masala,dairy,curry,high,medium,fridge,4.9,closed,40.7,0.0
dal_tadka,veg,curry,high,low,fridge,3.5,open,18.8,15.25
naan,veg,bread,low,medium,room,31.0,open,29.2,0.0
samosa,veg,fried,low,high,room,37.1,closed,0.6,12.44
jeera_rice,veg,rice,medium,low,fridge,2.8,closed,38.3,0.0
roti,veg,bread,low,low,room,31.0,open,5.7,9.42
chicken_biryani,nonveg,rice,medium,medium,room,35.8,open,26.9,0.0
veg_pulao,veg,rice,medium,medium,fridge,4.0,open,34.5,0.0
jeera_rice,veg,rice,medium,low,fridge,3.1,open,18.8,19.95
veg_pulao,veg,rice,medium,medium,room,26.4,open,22.8,0.0
curd,dairy,liquid,high,low,fridge,7.8,closed,32.0,33.17
veg_pulao,veg,rice,medium,medium,fridge,3.0,closed,13.3,14.29
chicken_biryani,nonveg,rice,medium,medium,fridge,2.3,open,43.8,0.0
gulab_jamun,dairy,sweet,high,medium,room,25.2,closed,28.4,0.0
idli,veg,breakfast,medium,low,fridge,2.5,closed,23.2,22.99
fish_curry,nonveg,curry,high,low,fridge,5.6,closed,1.9,20.05
samosa,veg,fried,low,high,room,32.9,closed,28.7,0.0
fish_curry,nonveg,curry,high,low,fridge,2.2,open,36.7,0.0
veg_pulao,veg,rice,medium,medium,fridge,4.9,closed,10.7,22.05
milk,dairy,liquid,high,low,fridge,7.8,closed,27.7,14.76
jeera_rice,veg,rice,medium,low,room,27.9,open,14.4,0.0
veg_pulao,veg,rice,medium,medium,fridge,5.7,open,7.1,27.79
plain_rice,veg,rice,medium,low,room,37.2,open,6.2,3.49
jeera_rice,veg,rice,medium,low,room,32.5,closed,9.1,3.13
roti,veg,bread,low,low,room,29.7,open,16.9,6.2
paratha,veg,bread,low,high,room,34.1,open,25.5,0.0
chicken_curry,nonveg,curry,high,medium,room,27.4,open,0.3,9.5
paneer_butter_masala,dairy,curry,high,medium,room,37.2,closed,19.5,0.0
veg_pulao,veg,rice,medium,medium,room,26.2,open,15.8,0.0
paratha,veg,bread,low,high,fridge,2.6,open,18.4,44.58
halwa,veg,sweet,medium,high,room,33.8,open,38.0,0.0
halwa,veg,sweet,medium,high,room,30.6,open,19.4,1.24
samosa,veg,fried,low,high,fridge,2.5,open,27.3,12.52
halwa,veg,sweet,medium,high,room,33.7,closed,45.3,0.0
chicken_curry,nonveg,curry,high,medium,room,34.6,closed,46.8,0.0
idli,veg,breakfast,medium,low,room,37.2,closed,24.7,0.0
naan,veg,bread,low,medium,fridge,3.6,closed,30.3,13.01
dal_tadka,veg,curry,high,low,room,31.7,closed,12.3,0.0
veg_pulao,veg,rice,medium,medium,fridge,3.5,closed,27.5,8.0
gulab_jamun,dairy,sweet,high,medium,fridge,6.8,open,13.1,41.8
curd,dairy,liquid,high,low,room,29.8,closed,43.7,0.0
fish_curry,nonveg,curry,high,low,room,25.1,closed,33.7,0.0
halwa,veg,sweet,medium,high,fridge,7.1,closed,0.1,83.12
naan,veg,bread,low,medium,room,28.7,open,27.8,0.0
dal_tadka,veg,curry,high,low,fridge,6.4,open,34.0,3.57
samosa,veg,fried,low,high,room,37.7,closed,36.1,0.0
pakora,veg,fried,low,high,room,24.8,closed,7.6,8.46
naan,veg,bread,low,medium,room,29.2,open,21.7,0.0
milk,dairy,liquid,high,low,fridge,4.4,open,16.2,21.88
paneer_butter_masala,dairy,curry,high,medium,fridge,6.3,closed,43.4,0.0
jeera_rice,veg,rice,medium,low,fridge,5.7,open,28.7,10.8
paratha,veg,bread,low,high,room,28.7,closed,22.8,2.84
chicken_biryani,nonveg,rice,medium,medium,fridge,5.9,closed,8.8,20.42
milk,dairy,liquid,high,low,fridge,7.7,closed,42.1,7.54
jeera_rice,veg,rice,medium,low,fridge,2.2,open,8.6,27.06
dal_tadka,veg,curry,high,low,room,30.0,open,35.8,0.0
milk,dairy,liquid,high,low,fridge,5.3,closed,25.9,26.4
paratha,veg,bread,low,high,fridge,5.7,open,11.2,29.52
milk,dairy,liquid,high,low,fridge,6.6,closed,1.6,41.21
idli,veg,breakfast,medium,low,fridge,5.7,closed,6.8,41.4
gulab_jamun,dairy,sweet,high,medium,fridge,7.1,closed,12.1,59.01
veg_pulao,veg,rice,medium,medium,room,24.7,open,23.1,0.0
paratha,veg,bread,low,high,room,33.7,open,16.0,0.0
chicken_biryani,nonveg,rice,medium,medium,fridge,2.5,closed,28.1,5.28
milk,dairy,liquid,high,low,room,33.3,open,1.6,3.61
gulab_jamun,dairy,sweet,high,medium,fridge,5.5,closed,30.4,46.1
halwa,veg,sweet,medium,high,fridge,5.5,open,35.9,25.81
samosa,veg,fried,low,high,fridge,4.1,open,3.4,38.34
chicken_curry,nonveg,curry,high,medium,fridge,2.1,open,20.0,0.55
pakora,veg,fried,low,high,fridge,6.0,open,31.5,5.43
fish_curry,nonveg,curry,high,low,room,24.0,closed,2.6,4.45
samosa,veg,fried,low,high,room,25.5,closed,15.5,0.9
gulab_jamun,dairy,sweet,high,medium,room,27.8,open,24.9,0.0
curd,dairy,liquid,high,low,room,36.0,closed,10.6,0.0
dosa,veg,breakfast,medium,low,room,28.2,closed,16.5,0.0
pakora,veg,fried,low,high,room,34.3,open,32.5,0.0
dosa,veg,breakfast,medium,low,room,25.7,closed,41.1,0.0
plain_rice,veg,rice,medium,low,room,30.8,open,12.4,0.0
chicken_curry,nonveg,curry,high,medium,room,33.8,open,17.8,0.0
plain_rice,veg,rice,medium,low,room,28.1,open,35.1,0.0
jeera_rice,veg,rice,medium,low,room,32.2,closed,28.1,0.0
